,Text,True Label,Prediction
0,Ich hätte auch gerne ne SUpiDupi Friedliche Welt.,EXPRESSIVE,ASSERTIVE
1,#Tagesschau bejubelt #Katar &amp; sein #Islamisten-#Terror-#Propaganda-Sprachrohr ...,ASSERTIVE,EXPRESSIVE
2,Das ist das Geschenk von Merkel und Co.,EXPRESSIVE,ASSERTIVE
3,Ich will dieses Arschloch nicht auf freiem Fuß wissen...egal in welchem Land..!,EXPRESSIVE,ASSERTIVE
4,Hat uns alles IM Erika mitsamt der abgefuckten GROKO eingebrockt,UNSURE,ASSERTIVE
5,das ist billig,EXPRESSIVE,ASSERTIVE
6,"Man setzt lieber die eigene Bevölkerung der Gefahr aus, Opfer eines Verbrechens zu werden, bevor man ausländische Straftäter abschieben mag.",EXPRESSIVE,ASSERTIVE
7,danach wird so hart die Polizei gecalled,COMOTH,ASSERTIVE
8,"Deutschland wacht auf, Herr Restle.",ASSERTIVE,DIRECTIVE
9,"Das einzige, was diese Faktenchecks erreichen ist, dass sie diesen neofaschistischen Bullshit als relevant und diskussionswürdig adeln.",EXPRESSIVE,ASSERTIVE
10,|LBR| Die SPD ist eine Verräter Partei,EXPRESSIVE,ASSERTIVE
11,Knecht von Google.,UNSURE,EXPRESSIVE
12,geht auf die Straße.,DIRECTIVE,ASSERTIVE
13,Die Muppet-Show im Bundestag.,ASSERTIVE,UNSURE
14,"Fast 30 Jahre hängt uns der Solidaritätszuschlag am Hals, der sich nicht wie versprochen abschaffen lässt, aber der ganzen Welt ein zu Hause geben, funktioniert dagegen ganz locker.",EXPRESSIVE,ASSERTIVE
15,Das ist lachhaft.,EXPRESSIVE,ASSERTIVE
16,"|LBR| Aber Deutschland wird Bunter und Bunter, mit verheerenden Folgen!",UNSURE,EXPRESSIVE
17,Ihr widert mich an.,EXPRESSIVE,ASSERTIVE
18,Hinter dem Kapital steht der Faschismus!,UNSURE,ASSERTIVE
19,"Jetzt stell dir mal vor, du würdest die ganze Zeit davon lesen, was für einen Bullshit der OB von Herdecke die ganze Zeit aufführt.",DIRECTIVE,ASSERTIVE
20,Deutsche Rentner müssen Flaschen sammeln und die Grünen labern was von Klimaschutz.,EXPRESSIVE,ASSERTIVE
21,"Ich fürchte, in Berlin wird es bald einen Platz zum Gedenken an die Opfer des Sexismus geben.",EXPRESSIVE,ASSERTIVE
22,der soll erst seine Strafe absitzen und deutscher Knast ist kein Urlaub.,DIRECTIVE,ASSERTIVE
23,ausserdem zeigt das die chats an ihr ottos,UNSURE,ASSERTIVE
24,"|LBR| Echtes Kunststück, dass sich da nicht ausnahmslos jeder verarscht fühlt.",ASSERTIVE,EXPRESSIVE
