,Text,True Label,Prediction
0,"Ich finde Claudia #Roth auch ekelhaft, und ich gehe noch viel weiter.",EXPRESSIVE,ASSERTIVE
1,"|LBR| Aber Deutschland wird Bunter und Bunter, mit verheerenden Folgen!",UNSURE,EXPRESSIVE
2,Und das trotz so vieler Hashtags dieses Jahr.,UNSURE,ASSERTIVE
3,|LBR| Die Völker müssen zeigen das sie diese Scheiß Armutspolitik nicht mehr mit machen.,DIRECTIVE,ASSERTIVE
4,Die Muppet-Show im Bundestag.,ASSERTIVE,UNSURE
5,bis ich nacher komme dann wird geb*****t,UNSURE,ASSERTIVE
6,"Irgendein armes Arschlich wird als Bauernopfer vorgeführt, doch die Spitze der politischen Korruption, #VonderLeyen #CDU wird weiterhin, ungeschoren Ihr Unwesen treiben.",ASSERTIVE,EXPRESSIVE
7,denn ich bin wie gesagt sehr kluk.,EXPRESSIVE,ASSERTIVE
8,"Das ist leider schon bei der ersten Welle ""Zweiter-Weltkriegs-Shooter""vor 15 Jahren so gewesen.",EXPRESSIVE,ASSERTIVE
9,#FCKCDU,EXPRESSIVE,OTHER
10,Schweinskram hat er gemacht,EXPRESSIVE,ASSERTIVE
11,Päderasten und Deutschlandfeinde.,EXPRESSIVE,UNSURE
12,"Aber Schuld sind natürlich immer die bösen Weißen, die dort ackern,  damit überhaupt etwas funktioniert.",EXPRESSIVE,ASSERTIVE
13,"Das einzige, was diese Faktenchecks erreichen ist, dass sie diesen neofaschistischen Bullshit als relevant und diskussionswürdig adeln.",EXPRESSIVE,ASSERTIVE
14,"Menschenrechte, Bla Bla Blubb",OTHER,UNSURE
15,"Ähm, Frage,",ASSERTIVE,UNSURE
16,Du verkackter 0 Follower Troll.,EXPRESSIVE,UNSURE
17,dann musst du niemandem vorschreiben wo er hinzuschauen hat.,UNSURE,ASSERTIVE
18,|LBR| Dafür bezahle ich gerne extra...!,ASSERTIVE,UNSURE
19,"|LBR| Und Jutta, das ist doch nicht meine Meinung zum Kopftuch -",ASSERTIVE,UNSURE
20,"Ich würde anderen Juden in MS raten, bei Bedarf lieber in andere Stadt zur Polizei zu fahren.",DIRECTIVE,UNSURE
21,klappt nixmehr,ASSERTIVE,UNSURE
22,Typisch Kika,EXPRESSIVE,UNSURE
23,"Ja, beide Anstalten extrem identitäre ID politics Sprallos",UNSURE,ASSERTIVE
24,"Und dann nimmt das da daran Teil,",UNSURE,ASSERTIVE
25,#KeinVergessen,DIRECTIVE,OTHER
26,"Ein solides fuck, entspricht nicht im entferntesten einem verbalen Rassismus, welcher in seiner materiellen Realität täglich tötetet,",ASSERTIVE,UNSURE
27,"|LBR| Jaja, die Unabhängigkeit des Staatsanwalts, muss gegen und für den mutmaßlichen ""Täter""ermitteln,",EXPRESSIVE,DIRECTIVE
28,Tolles Land,EXPRESSIVE,UNSURE
29,Und Grenzen todsicher machen!,UNSURE,EXPRESSIVE
30,#afdwegfegen,DIRECTIVE,OTHER
31,"ob für den sozialistischen staat o das kapital ... d hat nichts, gar nichts mit radikalem Humanismus zu tun!",ASSERTIVE,UNSURE
32,Das ist vor allem Schwachsinn.,UNSURE,ASSERTIVE
33,"Ich ärgere mich nur, dass Leute eine andere Ansicht als ich haben, weil ich sehr kluk bin)",EXPRESSIVE,ASSERTIVE
34,wie mich dieses autoritäre identitäre gehabe einfach nur noch abfuckt.,EXPRESSIVE,UNSURE
35,"Warum kein deutsches Themenmärchen,",DIRECTIVE,UNSURE
36,Fett gepamperte Zugpferde sämtlicher arabischer Islamlobbys.,UNSURE,EXPRESSIVE
37,"Rentner durchsuchen Mülleimer, während Asylbetrüger und Wirtschaftsmigranten bei geöffneten Fenster die Heizungen aufdrehen.",EXPRESSIVE,ASSERTIVE
38,nennst den bürgi vor dem herren autonom,UNSURE,DIRECTIVE
39,Selten son Dreck im Fernsehen gesehen wie diese #krone18,EXPRESSIVE,UNSURE
40,Dieses grundlose Gekreische von den Nichtsnutzen ist nicht auszuhalten.,EXPRESSIVE,UNSURE
41,": das tut die Deutsche Gesellschaft, bestehend  aus Gutmenschen, Duckmäusern und Hatern schon ganz von selbst...",EXPRESSIVE,ASSERTIVE
42,|LBR| Dieses Sozialsystem ist eines der schlechtesten überhaupt.,EXPRESSIVE,ASSERTIVE
43,"Wieder ein Beispiel für angeblichen ""Antikapitalismus""von Rechts ...",EXPRESSIVE,UNSURE
44,Richtig so,ASSERTIVE,UNSURE
45,Angela Merkel im t-online.de-Interview -,ASSERTIVE,UNSURE
46,"|LBR| Die linke,deutsch/islamische #Bundesregierung kann den #korantreuen #Moslems #IS #Hamas doch gleich den Schlüssel zu Deutschland überreichen.",DIRECTIVE,EXPRESSIVE
47,Wenn ich nur seinen arroganten Duktus ertragen muss.,EXPRESSIVE,UNSURE
48,spielt Bildung keine Rolle....,DIRECTIVE,ASSERTIVE
49,Einfach alles.,EXPRESSIVE,ASSERTIVE
50,Thread,ASSERTIVE,UNSURE
51,|LBR| BRD: Knast wegen Schwarzfahren,EXPRESSIVE,ASSERTIVE
