,Text,True Label,Prediction
0,"|LBR| Aber Deutschland wird Bunter und Bunter, mit verheerenden Folgen!",UNSURE,COMPLAIN
1,"Ich hab den Sibel Schick Schock, weil mich Sibel Schick schockt",SUSTAIN,ASSERT
2,Und das trotz so vieler Hashtags dieses Jahr.,UNSURE,ASSERT
3,|LBR| Die Völker müssen zeigen das sie diese Scheiß Armutspolitik nicht mehr mit machen.,REQUEST,REQUIRE
4,Die Muppet-Show im Bundestag.,ASSERT,UNSURE
5,"kenn mich nicht aus, aber ich glaub da gibts schon cash wie sau",GUESS,UNSURE
6,bis ich nacher komme dann wird geb*****t,UNSURE,PREDICT
7,Nix Überraschendes.,ASSERT,UNSURE
8,"Irgendein armes Arschlich wird als Bauernopfer vorgeführt, doch die Spitze der politischen Korruption, #VonderLeyen #CDU wird weiterhin, ungeschoren Ihr Unwesen treiben.",PREDICT,COMPLAIN
9,Nicht zu Hisbollah-Tätschler @Polizei_nrw_ms,SUGGEST,ADDRESS
10,"Das ist leider schon bei der ersten Welle ""Zweiter-Weltkriegs-Shooter""vor 15 Jahren so gewesen.",COMPLAIN,ASSERT
11,#FCKCDU,COMPLAIN,OTHER
12,"|LBR| passt nicht ganz,",ASSERT,UNSURE
13,Päderasten und Deutschlandfeinde.,COMPLAIN,ASSERT
14,Ein Konstrukt wie die BRD die nach dem Rosenthal Plan umgestaltet wird,UNSURE,ASSERT
15,"Aber Schuld sind natürlich immer die bösen Weißen, die dort ackern,  damit überhaupt etwas funktioniert.",COMPLAIN,ASSERT
16,"Das einzige, was diese Faktenchecks erreichen ist, dass sie diesen neofaschistischen Bullshit als relevant und diskussionswürdig adeln.",COMPLAIN,ASSERT
17,"Menschenrechte, Bla Bla Blubb",OTHER,ASSERT
18,"Ähm, Frage,",ASSERT,UNSURE
19,Du verkackter 0 Follower Troll.,COMPLAIN,UNSURE
20,dann musst du niemandem vorschreiben wo er hinzuschauen hat.,UNSURE,PREDICT
21,"(kein Deutscher muss bald mehr arbeiten),",PREDICT,ASSERT
22,|LBR| Dafür bezahle ich gerne extra...!,ASSERT,SUGGEST
23,Diese Entwicklung innerhalb der SPD ist doch nicht das Ergebnis seit der letzten BTW.,EXCLUDED,ASSERT
24,"|LBR| Und Jutta, das ist doch nicht meine Meinung zum Kopftuch -",ASSERT,COMPLAIN
25,"Ich würde anderen Juden in MS raten, bei Bedarf lieber in andere Stadt zur Polizei zu fahren.",SUGGEST,ASSERT
26,klappt nixmehr,ASSERT,COMPLAIN
27,"Und dann nimmt das da daran Teil,",UNSURE,ASSERT
28,Diese Grüne ist so weltfremd,ASSERT,COMPLAIN
29,|LBR| Faltencreme hat sie offenbar reichlich konsumiert.,GUESS,ASSERT
30,#KeinVergessen,REQUIRE,OTHER
31,"Ein solides fuck, entspricht nicht im entferntesten einem verbalen Rassismus, welcher in seiner materiellen Realität täglich tötetet,",ASSERT,UNSURE
